Time Stamp,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Temp 1,Temp 2,Temp 3,Temp 4,Temp 5,Temp 6,Temp 7,Temp 8,Temp 9,Temp 10,Pack V,IDCHG,ICHG,Max V,Max Cell ID,Min V,Min Cell ID,Delta V,Cycle Count,Design Cap, Remaining Cap,SOC,Ignition,BMS State,Warning,SOC_ROUND
0:0:33,3.299,3.302,3.302,3.298,3.304,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.327,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.938,0.083,0.074,3.327,14.0,3.298,4.0,0.029,157,195000.0,128569.312,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:0:44,3.299,3.302,3.302,3.298,3.304,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.939,0.076,0.077,3.328,15.0,3.298,4.0,0.03,157,195000.0,128569.305,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:0:54,3.299,3.303,3.302,3.298,3.304,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.327,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.939,0.089,0.069,3.327,14.0,3.298,4.0,0.029,157,195000.0,128569.297,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:1:3,3.299,3.303,3.302,3.298,3.304,3.299,3.302,3.307,3.306,3.305,3.305,3.306,3.326,3.328,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.944,0.078,0.069,3.328,14.0,3.298,4.0,0.03,157,195000.0,128569.289,65.888,0,BMS_STATE_OFF,-                                                      ,66.0
0:1:13,3.299,3.302,3.302,3.298,3.304,3.299,3.302,3.307,3.305,3.305,3.305,3.305,3.326,3.327,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.94,0.073,0.075,3.328,15.0,3.298,4.0,0.03,157,195000.0,128569.281,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:1:24,3.299,3.302,3.302,3.298,3.303,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.938,0.08,0.077,3.328,15.0,3.298,4.0,0.03,157,195000.0,128569.273,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:1:33,3.299,3.302,3.302,3.298,3.303,3.299,3.302,3.307,3.306,3.304,3.305,3.306,3.326,3.327,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.941,0.081,0.074,3.328,15.0,3.298,4.0,0.03,157,195000.0,128569.266,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:1:43,3.299,3.302,3.302,3.298,3.303,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.327,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.935,0.085,0.069,3.327,14.0,3.297,4.0,0.03,157,195000.0,128569.258,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:1:53,3.299,3.302,3.302,3.297,3.303,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.327,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.937,0.092,0.076,3.327,14.0,3.298,4.0,0.029,157,195000.0,128569.25,65.888,0,BMS_STATE_OFF,-                                                     ,66.0
0:2:3,3.299,3.302,3.302,3.298,3.303,3.299,3.302,3.307,3.305,3.304,3.305,3.305,3.326,3.327,3.328,3.326,32.207,32.207,32.647,32.647,32.647,32.207,31.77,32.207,32.207,0.0,52.937,0.081,0.069,3.327,14.0,3.298,4.0,0.029,157,195000.0,128569.242,65.888,0,BMS_STATE_OFF,-                                                      ,66.0
